epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.11215,2.95487,5.05123,2.19988,0.01043,0.44188,0.1371,0.09505,2.7457,6.18886,2.13986,0.000648148,0.000648148,0.000648148
2,11.6806,2.9526,3.69373,2.28005,0.86619,0.12972,0.32246,0.19117,2.97307,5.16201,2.36134,0.00128878,0.00128878,0.00128878
3,17.2597,2.94984,3.24387,2.27441,0.56145,0.38477,0.40622,0.24998,3.05439,4.01125,2.49547,0.00190301,0.00190301,0.00190301
4,22.8005,2.94149,2.99764,2.30417,0.67302,0.39804,0.49204,0.29224,2.97238,3.7005,2.33675,0.0018812,0.0018812,0.0018812
5,28.3089,2.87946,2.79395,2.26786,0.61758,0.54694,0.5883,0.35678,2.91111,2.81731,2.33978,0.0018416,0.0018416,0.0018416
6,33.8953,2.90306,2.63168,2.29317,0.6906,0.59519,0.63448,0.3739,2.9877,2.55237,2.35102,0.001802,0.001802,0.001802
7,39.4023,2.8581,2.50569,2.27722,0.68866,0.5,0.56008,0.34124,3.02791,3.05968,2.43813,0.0017624,0.0017624,0.0017624
8,44.9558,2.78808,2.36145,2.22968,0.7034,0.5521,0.63436,0.39746,2.83598,2.52761,2.31241,0.0017228,0.0017228,0.0017228
9,50.5412,2.81068,2.28168,2.24255,0.73372,0.61847,0.68698,0.43437,2.76873,2.23785,2.27854,0.0016832,0.0016832,0.0016832
10,56.0569,2.73633,2.2119,2.24005,0.75562,0.62224,0.71426,0.44699,2.70142,2.01632,2.23902,0.0016436,0.0016436,0.0016436
11,61.6155,2.71102,2.0698,2.21817,0.75506,0.63727,0.70976,0.43305,2.84939,2.08796,2.30008,0.001604,0.001604,0.001604
12,67.2588,2.72371,2.05699,2.20102,0.72837,0.6099,0.69004,0.44239,2.70944,2.19084,2.23106,0.0015644,0.0015644,0.0015644
13,72.8773,2.69466,1.99711,2.19679,0.78325,0.65177,0.75155,0.47528,2.67927,1.86668,2.19428,0.0015248,0.0015248,0.0015248
14,78.4397,2.6921,2.00411,2.17907,0.75026,0.67936,0.74459,0.45714,2.651,2.0485,2.23513,0.0014852,0.0014852,0.0014852
15,84.0346,2.68331,1.89671,2.19323,0.76966,0.67735,0.75805,0.48306,2.61558,1.85695,2.19841,0.0014456,0.0014456,0.0014456
16,89.5645,2.60903,1.89436,2.18249,0.80145,0.66738,0.77151,0.49733,2.57918,1.78622,2.1876,0.001406,0.001406,0.001406
17,95.1354,2.67,1.90852,2.19019,0.81224,0.67335,0.77296,0.50568,2.57098,1.73632,2.17821,0.0013664,0.0013664,0.0013664
18,100.658,2.61633,1.81869,2.17305,0.74289,0.67836,0.74754,0.4731,2.67247,1.89779,2.23322,0.0013268,0.0013268,0.0013268
19,106.199,2.61883,1.77668,2.15676,0.77322,0.61824,0.70711,0.45701,2.71312,2.11553,2.27703,0.0012872,0.0012872,0.0012872
20,111.726,2.56059,1.80971,2.15538,0.82145,0.68437,0.78763,0.4986,2.61553,1.72093,2.20064,0.0012476,0.0012476,0.0012476
21,117.353,2.60285,1.7415,2.16606,0.81366,0.68253,0.77813,0.50426,2.56813,1.77492,2.1675,0.001208,0.001208,0.001208
22,122.865,2.51237,1.68069,2.12143,0.7801,0.73936,0.80435,0.52077,2.59084,1.62172,2.18721,0.0011684,0.0011684,0.0011684
23,128.475,2.50835,1.77462,2.10713,0.79803,0.72144,0.79443,0.5129,2.59189,1.66276,2.1882,0.0011288,0.0011288,0.0011288
24,134.049,2.52039,1.65923,2.10825,0.79177,0.69723,0.78192,0.50829,2.58136,1.71032,2.18229,0.0010892,0.0010892,0.0010892
25,139.565,2.45355,1.6309,2.12372,0.80867,0.7014,0.78392,0.51074,2.53017,1.73172,2.17061,0.0010496,0.0010496,0.0010496
26,145.146,2.4897,1.63039,2.08589,0.78421,0.71443,0.78605,0.50993,2.56708,1.70591,2.16952,0.00101,0.00101,0.00101
27,150.74,2.47845,1.61291,2.09973,0.81105,0.68036,0.77869,0.51768,2.53704,1.74946,2.15509,0.0009704,0.0009704,0.0009704
